Date,River_System,pH_Level,Temperature,Lead,Mercury,Arsenic,Nitrates,Phosphates,Dissolved_Oxygen
01/01/2018,Amazon,7.030014652,19.13621216,2.500400542,0.46545396,3.578886212,11.62761415,0.522167488,7.83019631
01/01/2018,Nile,7.421765706,21.40682417,3.469443207,0.859716093,5.35215523,10.53817086,0.510465441,8.130327532
01/01/2018,Yangtze,7.133612157,18.41990159,3.806935089,0.824084524,5.277813892,7.865033102,0.585096126,8.120873859
01/01/2018,Mississippi,7.863001203,18.014871,3.438130787,0.500596995,3.473880544,11.14306799,0.438248166,6.853816115
01/01/2018,Danube,7.527685581,16.62228864,2.188209523,0.42417817,2.454209178,8.043466705,0.4222436,8.197924864
08/01/2018,Amazon,6.81645301,20.00929004,2.317695095,0.46853354,2.77920546,14.37510056,,8.801351718
08/01/2018,Nile,7.71323369,19.38541749,3.281071884,,2.969543171,8.043222149,0.400074761,7.887773251
08/01/2018,Yangtze,6.997986982,17.4601233,5.077893073,0.668968925,6.103827635,9.058403112,0.66730386,6.697804965
08/01/2018,Mississippi,8.053053971,20.63647145,4.150142553,0.629782,3.154285352,8.761829065,0.56256244,8.981253297
08/01/2018,Danube,7.552935018,22.52119013,2.779918992,0.3144519,2.232550389,10.50859867,0.534826804,10.05078173
15/01/2018,Amazon,7.160033179,19.44165153,1.803350728,0.571840112,2.600601348,8.143918376,0.58158116,9.107245954
15/01/2018,Nile,7.669134259,21.46757309,4.018444527,0.808107329,4.04917692,11.10284647,0.444646578,9.536488217
15/01/2018,Yangtze,7.051169406,21.3326847,4.855447707,0.671064593,4.176781167,14.47934972,0.412871576,7.11614132
15/01/2018,Mississippi,7.834896628,19.95230172,3.779436501,0.493640377,3.861990432,8.946156499,0.579336554,5.769707606
15/01/2018,Danube,6.956650894,24.40818456,2.409583402,0.292355366,2.448744376,10.08014195,0.558543805,7.626651938
22/01/2018,Amazon,6.907534381,24.33457767,2.482325378,,3.027437406,7.010796702,0.563810876,7.781846636
22/01/2018,Nile,7.793534852,23.27831713,2.441771388,0.686203862,3.602910525,8.09500921,0.40114731,7.669592613
22/01/2018,Yangtze,7.363767521,25.4306129,4.135936018,0.717879775,4.46098931,13.73431391,0.562699315,8.853330415
22/01/2018,Mississippi,8.087496586,19.78651223,3.405962919,,3.286167791,10.83259532,0.390276286,6.678503162
22/01/2018,Danube,7.58220218,27.17188929,1.757851054,0.232658575,2.028508829,11.76945522,,6.929695433
29/01/2018,Amazon,7.096385868,21.68403609,1.583153923,0.555938053,3.367364007,12.6747958,0.553640823,8.267114559
29/01/2018,Nile,7.713934092,21.66745983,2.436733934,0.868940283,4.391624607,13.05386685,0.616749862,10.01666001
29/01/2018,Yangtze,7.261829353,22.82228472,3.853967607,0.942809556,3.985367475,11.77244674,0.491018172,6.998331562
29/01/2018,Mississippi,7.744692079,21.95966304,3.88306479,0.57342821,3.391796039,6.549353167,0.575401962,7.852986517
29/01/2018,Danube,7.287491246,21.87849839,2.061511551,0.354204659,2.503260221,10.1516383,0.410447679,8.207579439
05/02/2018,Amazon,7.016463552,20.20689266,2.812829198,0.598996963,3.297568667,7.733886645,0.27775576,8.478571884
05/02/2018,Nile,7.448741058,24.56252669,2.739599153,0.859182626,4.088104441,10.46946136,0.516496121,8.300142367
05/02/2018,Yangtze,7.229517055,26.80085251,3.887187204,0.739430323,5.297074653,12.58828208,0.425876068,7.185534838
05/02/2018,Mississippi,7.689777481,20.10210284,4.218869561,0.593483064,3.670169227,13.15696825,,7.84352374
05/02/2018,Danube,7.484992675,22.92998262,3.018952908,0.3774836,3.124460595,6.950884312,0.645599481,6.218187503
